metric,general_proxy,residual_spearman_across_sizes,material_layers_0_6,material_layers_1_7,material_layers_common,material_set_jaccard,scope
tool_selection,log_ratio,0.2769567597153804,2;3;4;6;9;10;14;18;19;21;22;24;26;27,2;11;12;14;19;20;21;24;27,2;14;19;21;24;27,0.35294117647058826,descriptive same-family aligned block index; not independent replication
tool_selection,relative,0.28680897646414893,1;2;3;4;6;9;10;14;18;19;21;22;24;26;27,2;11;12;19;20;21;24;27,2;19;21;24;27,0.2777777777777778,descriptive same-family aligned block index; not independent replication
argument_binding,log_ratio,0.2720306513409962,2;4;6;9;10;14;18;19;21;22;24;26;27,2;11;12;20;21;22;24;27,2;21;22;24;27,0.3125,descriptive same-family aligned block index; not independent replication
argument_binding,relative,0.2654625068418172,1;2;4;6;9;10;14;18;19;21;22;24;26,2;11;12;20;21;22;24;27,2;21;22;24,0.23529411764705882,descriptive same-family aligned block index; not independent replication
full_call,log_ratio,0.2900930487137384,2;4;6;9;10;14;18;19;21;22;24;26;27,2;11;12;20;21;22;24;27,2;21;22;24;27,0.3125,descriptive same-family aligned block index; not independent replication
full_call,relative,0.2791461412151068,1;2;4;6;9;10;14;18;19;21;22;24;26,2;11;12;20;21;22;24;27,2;21;22;24,0.23529411764705882,descriptive same-family aligned block index; not independent replication
