model_b,metric,general_proxy,layer,baseline_accuracy,intervention_accuracy,tool_damage_probability,baseline_perplexity_arithmetic_mean,intervention_perplexity_arithmetic_mean,perplexity_relative_damage,perplexity_log_ratio,predicted_tool_damage_probability,residual_probability,residual_pointwise_95_low,residual_pointwise_95_high,residual_simultaneous_95_low,residual_simultaneous_95_high,residual_bootstrap_se,leverage,leave_one_layer_out_residual,isotonic_log_residual,damage_rank_descending_average_ties,residual_rank_descending_average_ties,equal_damage_layers,intervention_complete_failure,baseline_at_ceiling,point_residual_at_least_10pp,simultaneous_low_above_zero,simultaneous_low_above_10pp,raw_log_and_loo_point_material,isotonic_point_material
1.7,tool_selection,log_ratio,0,1.0,0.0,1.0,22.592421531677246,24719176.571875,1094134.7719098765,13.905475360214083,1.135634595758777,-0.135634595758777,-0.16947478374694758,-0.09619239873517589,-0.20880016681972374,-0.06246902469783029,0.020186096644290788,0.8017475786181721,-0.6841510172405367,0.0,2.0,13.0,3,True,True,False,False,False,False,False
1.7,tool_selection,log_ratio,1,1.0,0.85,0.15000000000000002,22.592421531677246,370.8703815460205,15.415698557412998,2.798238106089072,0.38583661289818266,-0.23583661289818264,-0.3760521966955627,-0.029191557504757625,-0.55834193355961,0.08666870776324476,0.08897796431803491,0.050620928238564726,-0.24841143007357636,-0.17916666666666664,11.0,28.0,1,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,2,1.0,0.0,1.0,22.592421531677246,15617.273120117188,690.2615851390665,6.538518312390955,0.6383255523036175,0.36167444769638246,0.31041445147671587,0.4839727433085853,0.16007508424763542,0.5632738111451295,0.055620480712356174,0.17687024230799409,0.4393893481757851,0.0,2.0,4.0,3,True,True,True,True,True,True,False
1.7,tool_selection,log_ratio,3,1.0,1.0,0.0,22.592421531677246,29.479062271118163,0.3048208324984125,0.26606573824443097,0.2149014208043848,-0.2149014208043848,-0.250823828532688,-0.18486426743815637,-0.27525357336709927,-0.15454926824167034,0.016650924289337083,0.038174886615939964,-0.22343086889079175,-0.32916666666666666,23.0,25.0,11,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,4,1.0,0.95,0.050000000000000044,22.592421531677246,33.473208618164065,0.4816122552967892,0.39313085653916746,0.22347899659659662,-0.17347899659659657,-0.24154406748231194,-0.0729459142224885,-0.33683844653219086,-0.010119546661002288,0.04507023722142763,0.03739435354403,-0.18021813733930925,-0.2791666666666666,16.0,16.0,3,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,5,1.0,1.0,0.0,22.592421531677246,32.121357154846194,0.421775753865439,0.3519066212418295,0.22069613999925192,-0.22069613999925192,-0.2546697476451294,-0.18869219939343596,-0.2817318705868518,-0.15966040941165205,0.016839520809177756,0.037631314985116515,-0.2293259781160053,-0.32916666666666666,23.0,26.0,11,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,6,1.0,1.0,0.0,22.592421531677246,26.484488105773927,0.17227310355552383,0.1589446875205985,0.2076701763538525,-0.2076701763538525,-0.2437035512389252,-0.1774997112218758,-0.2684465422516636,-0.14689381045604138,0.016767963099475317,0.03894824661769853,-0.21608636124223624,-0.10384615384615385,23.0,20.0,11,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,7,1.0,1.0,0.0,22.592421531677246,24.21771583557129,0.07193980076970452,0.06946990507339318,0.20163014949020647,-0.20163014949020647,-0.23769255475746914,-0.17121187931564164,-0.2626614111929259,-0.14059888778748703,0.01683828786121084,0.039675084565974884,-0.20996034388952453,-0.10384615384615385,23.0,19.0,11,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,8,1.0,1.0,0.0,22.592421531677246,24.036681938171387,0.06392676431205557,0.06196655801674039,0.20112363339092248,-0.20112363339092248,-0.23805891395463075,-0.17050609478749948,-0.26306799640151624,-0.1391792703803287,0.017090208962618297,0.03973938268926431,-0.20944692489230748,-0.10384615384615385,23.0,18.0,11,False,True,False,False,False,False,False
1.7,tool_selection,log_ratio,9,1.0,1.0,0.0,22.592421531677246,27.36604404449463,0.21129308808815384,0.19168845683112007,0.2098805560926272,-0.2098805560926272,-0.24427534222348096,-0.17907028955507162,-0.269912975490305,-0.1498481366949494,0.01656271115197992,0.038700655918569055,-0.21833007312948755,-0.10384615384615385,23.0,23.0,11,False,True,False,False,False,False,False
